WORD: FREQUENCY
holiday: 1
mustached: 1
squealed: 1
youill: 1
alarming: 1
threes: 1
gate: 1
wizened: 1
towns: 1
tidier: 1
greener: 1
boarding: 1
wardrobes: 1
scraped: 1
jot: 1
takes: 1
cupif: 1
pointsexactly: 1
yelling: 1
themselvesthey: 1
award: 4
sunburn: 1
radish: 1
dish: 1
ahem: 1
account: 1
stamping: 1
thus: 1
awarding: 1
hush: 1
decked: 1
insisting: 1
pomfreys: 1
insteadanyway: 1
shoulda: 1
chuckle: 1
sandwich: 1
saidthat: 1
leaking: 1
remorse: 1
chucked: 1
stiffily: 1
bustled: 1
youbut: 1
courseyou: 1
accident: 1
stopping: 1
terribleyou: 1
didi: 1
explodedif: 1
knewhe: 1
whileand: 1
itto: 1
todie: 1
audience: 1
todumbledore: 1
fling: 1
nurse: 1
saidalas: 1
toffee: 1
firstto: 1
thembut: 1
vomitflavored: 1
itwould: 1
stonefind: 1
tofind: 1
hating: 1
debt: 1
himquirrell: 1
twinkled: 1
ahyour: 1
cloakdo: 1
hatred: 1
detest: 1
alas: 1
returnto: 1
nevertheless: 1
truly: 1
increases: 1
sireven: 1
precisely: 1
beings: 1
veryvery: 1
youdid: 1
blankly: 1
youthe: 1
distracted: 1
confiscated: 1
misters: 1
tokens: 1
linen: 1
blackness: 1
grasp: 1
yells: 1
buildinghe: 1
offthe: 1
painhis: 1
aaaargh: 1
instinct: 1
deadly: 2
palmsharry: 1
pinning: 1
himmy: 1
agony: 2
neckharrys: 1
blistering: 2
fingersthey: 1
lessenedhe: 1
seared: 1
vain: 1
value: 1
liar: 1
begging: 1
surged: 1
create: 1
faithful: 1
strengthened: 1
anothers: 1
vapor: 1
slits: 1
muscle: 1
somehowincrediblyhed: 1
yespottercome: 1
itwhich: 1
myseff: 1
hedseen: 1
naturally: 1
displeased: 1
forgive: 3
seekit: 1
traveled: 1
masters: 1
spasm: 1
youdead: 1
loathed: 1
binding: 2
presenting: 1
meas: 1
idly: 1
offand: 1
trollsyou: 1
scurrying: 1
nosy: 1
stopgryffindor: 1
tosave: 1
pppoor: 1
suspect: 1
firethen: 1
themfor: 1
braced: 1
flooding: 1
lucktake: 1
nobut: 1
harrybe: 1
cleverness: 1
fluffygo: 1
flyingkey: 1
swallow: 1
firetoward: 1
logic: 2
puzzle: 1
logica: 1
magicits: 1
hermionethis: 1
insidesfourth: 1
holds: 1
dwarf: 1
sizeneither: 1
friendthird: 1
wines: 1
poison: 3
forevermoreto: 1
linechoose: 1
bidden: 1
frighten: 1
winethree: 1
nettle: 2
insteadtwo: 1
transport: 1
aheadanother: 1
itdanger: 1
threshold: 1
differently: 1
nextbut: 1
tackled: 1
larger: 1
transfigured: 1
convince: 1
charged: 1
crown: 1
spaces: 1
squarethe: 1
floorhermione: 1
gonow: 1
king: 2
methat: 1
sacrifices: 1
thinklet: 1
limp: 1
mercy: 3
diagonally: 1
harrymove: 1
plays: 1
bishop: 3
offended: 2
saidnow: 1
helmeted: 1
slightlythe: 1
chessboard: 1
turnedit: 1
rammed: 1
abovehermione: 1
damaged: 1
therewith: 1
onethereno: 1
rainbow: 1
weaving: 1
spotting: 1
darted: 2
oneprobably: 1
fashioned: 1
arehundreds: 1
yeslook: 1
flock: 1
keyslook: 1
winged: 1
theyrekeys: 1
glitteringglittering: 1
soaring: 2
decoration: 2
alohomora: 1
untouched: 1
beaks: 1
arching: 1
brilliantly: 1
aheadi: 1
clinking: 1
fully: 1
gentle: 1
pocketand: 1
crisistheres: 1
flailing: 1
wriggling: 1
wringing: 1
yesof: 1
likes: 1
curling: 1
devils: 5
tighter: 1
bark: 1
landing: 2
flump: 1
saidif: 1
fingertips: 1
ring: 1
gritted: 1
approached: 1
smelly: 1
tottered: 1
ceasedit: 1
droop: 1
creaked: 1
corridorand: 1
greasily: 1
unseen: 1
wee: 1
ghostie: 1
loosening: 2
lamplike: 1
skulking: 1
motionless: 1
bind: 2
hurtingits: 1
petrificus: 1
burns: 1
tous: 1
world: 21
fumes: 1
steeling: 1
public: 2
hearttheir: 1
waste: 2
usif: 1
invented: 2
putted: 1
allall: 1
lunchtime: 2
befuddle: 1
snapewait: 1
wanderings: 1
everythin: 3
snthat: 1
tumbled: 1
nudged: 1
frown: 1
demands: 1
strength: 3
franticallynow: 1
hesgone: 1
flames: 6
urgent: 1
swallowednow: 1
fishy: 1
horrified: 2
hoochs: 1
fluffys: 1
ing: 1
eyesand: 1
sorta: 1
muttering: 7
mightn: 1
coils: 1
headthats: 1
wander: 1
wherere: 1
neverbut: 1
unsettled: 1
proof: 1
dangers: 1
thismeans: 1
basking: 1
squid: 1
tentacles: 1
uprising: 1
conduct: 1
neednt: 3
law: 1
view: 6
forgetfulness: 1
snuffbox: 1
feet: 51
tapdance: 1
anticheating: 1
popkintwo: 1
surprises: 2
sore: 2
jus: 8
exhausted: 1
branch: 1
clock: 4
wands: 12
banell: 1
thatsmine: 1
fouls: 1
angry: 15
cantered: 1
shame: 4
examine: 2
awaiting: 1
deaths: 1
heaved: 2
firenzes: 1
showers: 1
disgusting: 2
slay: 1
outsidestuffing: 1
whys: 1
whisked: 1
alongside: 1
hind: 1
donkeys: 1
nervouslyim: 1
mule: 1
heaving: 1
flanks: 1
lingering: 1
charging: 1
pierced: 1
harryhe: 1
easily: 7
dribbling: 1
harryunicorn: 1
cloaked: 1
quivered: 1
slender: 1
damage: 2
inched: 1
changin: 1
fuming: 1
sharper: 1
fitchthat: 1
pocket: 16
amount: 1
undergrowth: 1
rejoice: 1
hooves: 2
ofthem: 1
stargazers: 1
skywardmars: 1
bodied: 1
victims: 1
innocent: 1
fours: 1
sixteen: 2
erm: 1
motion: 1
behead: 1
unicorns: 3
centaur: 7
club: 7
shone: 4
flow: 1
yerselfim: 1
throughout: 1
shouldn: 1
astonishingly: 1
listened: 2
terget: 1
enormous: 5
mossy: 1
killing: 2
carefullets: 1
gottayeh: 1
fangll: 1
hermionell: 1
staggerin: 1
muddy: 1
trail: 1
inter: 2
track: 1
gaze: 1
goods: 1
copyin: 1
snot: 1
waitin: 1
colored: 2
therewerewolves: 1
nighttheres: 1
ruffled: 4
keeps: 2
familyin: 1
moan: 1
nosebleed: 1
oaf: 1
sniffing: 1
wrists: 1
chivalryset: 1
dry: 4
pity: 1
landed: 11
binns: 3
lighting: 1
lined: 2
circling: 2
stepquirrell: 1
tall: 11
piles: 2
spring: 1
thicker: 1
gambled: 1
hitch: 1
vacuum: 1
meddling: 1
rightall: 1
keyhole: 3
imernot: 1
rebellions: 1
friday: 4
misery: 2
resign: 2
meddle: 1
ambling: 1
repair: 1
owe: 1
insulted: 1
seekers: 4
comfort: 2
pointseach: 1
longbottomnothing: 1
nevilleharry: 1
itsfunny: 1
chortled: 2
dungeon: 3
slippers: 1
outofbounds: 1
astronomy: 3
creeping: 2
thistime: 1
coverup: 1
melt: 1
happiness: 1
harness: 1
jig: 1
detention: 4
rooted: 2
strangled: 1
cunning: 1
grappling: 1
poles: 1
outlines: 1
anothereven: 1
barked: 5
teddy: 2
concrete: 1
rattle: 1
aargh: 1
bandaged: 1
noive: 1
feels: 1
shade: 1
letterid: 1
snuffling: 1
nocharlieyour: 1
led: 8
dump: 1
norberts: 3
marbles: 1
hecould: 1
gamekeeping: 1
argued: 1
lose: 12
hammered: 1
kidhes: 1
facehe: 1
drained: 2
clicking: 1
ushered: 1
frame: 3
trowels: 1
humming: 1
diffrent: 2
chipped: 2
stands: 9
librarydragon: 1
plump: 4
punishments: 1
harder: 7
readin: 1
cheery: 1
cringed: 1
flared: 2
drinks: 2
fiddling: 1
everythingexcept: 1
guarded: 1
protecting: 1
yeahyer: 1
flitwickprofessor: 1
sproutprofessor: 1
giant: 24
scruff: 1
coward: 1
persuade: 2
beats: 1
overgrown: 1
gringottsi: 1
frowned: 1
bush: 2
trapdoor: 10
soyeh: 1
refused: 1
stoat: 2
muscular: 1
leaping: 1
gamekeepers: 1
worth: 8
hebridean: 1
blotts: 1
spear: 1
inbritain: 1
gardenanyway: 1
merry: 3
wastepaper: 2
warlocks: 1
outlawed: 1
breeding: 2
movement: 3
keepers: 1
species: 1
forgets: 1
promisin: 1
sniffy: 1
shoutin: 1
st: 1
ready: 16
straps: 1
hooked: 1
updittany: 1
smooth: 3
reciting: 1
press: 1
norbert: 22
anti: 2
righttalk: 1
thumping: 1
youbeen: 1
fill: 1
loyalties: 1
sayyour: 1
bbbut: 1
remembered: 9
beast: 2
ddont: 1
brushing: 1
sniff: 2
dinnerwhat: 1
difficult: 11
hello: 3
figure: 7
grassy: 1
hooded: 4
dumbledore: 140
broomshed: 1
lippedthen: 1
erupted: 2
inchesthe: 1
place: 34
pelt: 1
bullet: 1
malfoyone: 1
events: 3
loose: 1
is: 163
howled: 1
moneyyou: 1
seems: 8
locked: 10
whovegot: 1
choose: 2
ruddy: 2
fixedly: 1
pound: 2
broadly: 1
reliefhe: 1
favor: 1
mortis: 1
pep: 1
couldyet: 1
howls: 2
overtaking: 1
kept: 37
calm: 5
discussing: 1
pulling: 10
werewolf: 5
perenelle: 2
leastbut: 1
weekly: 1
freckles: 4
existence: 1
nothingjust: 1
dursleys: 52
ranting: 1
immortal: 1
pale: 20
drinker: 2
explained: 5
weight: 1
concerned: 2
ohhonestly: 1
wasvol: 1
fences: 1
maker: 1
come: 91
dashing: 3
mystified: 1
beg: 1
exchange: 1
bloodand: 1
harp: 1
shoulders: 7
chose: 1
daylight: 5
youwhatwas: 1
urged: 2
himan: 1
bunny: 2
referee: 3
sinister: 1
notmy: 1
barking: 1
fewer: 2
overtake: 2
fanatic: 1
dampen: 1
judge: 1
endless: 1
nightmares: 2
convinced: 2
powersomething: 1
personal: 1
itoldyou: 2
pillow: 3
shoved: 1
entranced: 1
wasted: 1
side: 33
bound: 4
globes: 1
knowledge: 1
vernon: 104
overshadowed: 1
unluckily: 1
professorplease: 1
slowlyit: 1
columns: 1
happiest: 1
madam: 35
itwellit: 1
malfoy: 108
discovered: 1
stalking: 1
lion: 3
safeshe: 1
thingdid: 1
torture: 1
discussion: 1
gawking: 1
deadlet: 1
toand: 1
provoked: 1
amim: 1
noim: 1
stubs: 1
image: 1
olivers: 1
flocking: 1
transfixed: 2
moaning: 2
route: 1
ahemjust: 1
feared: 2
crossly: 1
distant: 4
greenexactly: 1
existed: 1
reflections: 2
wohsi: 1
oyt: 2
yourejoking: 1
stra: 1
inscription: 1
clawed: 1
ornate: 1
upturned: 1
seating: 1
desks: 2
directly: 1
recognize: 3
staggered: 1
copper: 2
ringing: 1
outstretched: 1
tame: 1
lips: 9
toyou: 1
panicking: 1
backward: 5
oiled: 1
slice: 1
earsplitting: 1
rub: 1
choked: 3
unbroken: 1
volume: 1
brazilian: 1
stain: 1
title: 1
gallopin: 1
spelled: 1
beaming: 5
beech: 1
creeps: 1
unexpected: 1
cloakhe: 1
roncharlie: 1
backhis: 1
airuse: 1
crumpets: 1
small: 32
suspected: 4
snowball: 1
feeble: 2
growyourownwarts: 1
including: 1
flitting: 1
giggled: 1
dragonnorbert: 1
lifeand: 1
kissing: 1
wine: 2
redder: 2
embedded: 1
shrieking: 1
turkey: 3
appearedit: 1
chuckling: 2
flowered: 1
ridgebacks: 1
bang: 1
skinny: 2
cracker: 1
cranberry: 1
havent: 22
gravy: 1
zombie: 2
tureens: 1
frogmarched: 1
thickly: 1
gryffindorwhere: 1
idontwant: 1
such: 21
p: 1
tumbling: 1
disapproving: 1
balancing: 1
rot: 1
forge: 1
grinned: 5
stupidwe: 1
observed: 1
sharing: 2
flung: 2
umbrella: 10
giveanything: 1
loopy: 1
suspended: 1
awe: 1
material: 2
gains: 1
woven: 1
folds: 1
tuesday: 3
name: 42
gleaming: 3
unwrapping: 2
torn: 3
ismoney: 1
woodhonestly: 1
saidwhat: 1
darkly: 6
weird: 1
taller: 2
fascinated: 1
whittled: 1
scrawled: 1
eve: 1
sendhim: 1
passwords: 1
itold: 1
imagining: 5
drawback: 1
belonged: 3
troops: 1
argue: 4
grade: 1
directing: 1
